song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Blinding Lights,The Weeknd,2019-11-29,78,canadian contemporary r&b,92,0.00148,0.504,201573.0,0.795,0.000155,1,0.0902,-4.118,1,0.0703,171.021,0.379
Good Thing (with Kehlani),Zedd,2019-09-27,89,complextro,86,0.39899999999999997,0.693,210901.0,0.564,0.0,1,0.0409,-3.8569999999999998,0,0.0378,185.91299999999998,0.574
Look At Her Now,Selena Gomez,2019-10-24,92,dance pop,93,0.114,0.563,162596.0,0.564,0.0254,10,0.304,-7.906000000000001,0,0.271,154.355,0.55
Harleys In Hawaii,Katy Perry,2019-10-16,85,dance pop,88,0.185,0.722,185815.0,0.757,6.32e-06,10,0.126,-6.207000000000001,0,0.132,140.094,0.721
Up All Night,Khalid,2019-11-14,87,alternative r&b,96,0.00103,0.665,157220.0,0.7120000000000001,0.0034200000000000003,1,0.102,-7.5360000000000005,1,0.0527,93.98899999999999,0.669
Señorita,Shawn Mendes,2019-06-21,96,canadian pop,93,0.037000000000000005,0.759,190960.0,0.54,0.0,9,0.0945,-6.039,0,0.0287,116.947,0.75
Circles,Post Malone,2019-09-06,67,dfw rap,100,0.192,0.695,215280.0,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,0.5529999999999999
句號,G.E.M.,2019-11-22,64,cantopop,71,0.258,0.7170000000000001,235632.0,0.541,0.0,10,0.077,-6.265,1,0.0524,143.96200000000002,0.449
Watermelon Sugar,Harry Styles,2019-11-17,90,dance pop,87,0.122,0.5479999999999999,174000.0,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,0.557
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,2019-09-13,84,dance pop,96,0.00268,0.643,190107.0,0.721,6.51e-06,1,0.0898,-5.247999999999999,1,0.0449,102.914,0.317
Cry for Me,Camila Cabello,2019-10-04,80,dance pop,94,0.05,0.721,189133.0,0.805,0.0,9,0.153,-4.1339999999999995,0,0.0927,118.05799999999999,0.653
Lonely (with Jonas Brothers),Diplo,2019-09-27,86,bmore,90,0.062,0.738,139813.0,0.7170000000000001,0.0,1,0.205,-5.121,1,0.0573,98.04700000000001,0.5
bad guy (with Justin Bieber),Billie Eilish,2019-07-11,85,electropop,97,0.252,0.67,194840.0,0.45299999999999996,0.33,0,0.11699999999999999,-11.265,1,0.295,135.055,0.68
Graveyard,Halsey,2019-09-13,91,dance pop,91,0.231,0.667,181806.0,0.583,4.48e-05,11,0.18100000000000002,-5.127000000000001,0,0.0747,92.04299999999999,0.187
Lights Up,Harry Styles,2019-10-11,93,dance pop,87,0.0426,0.585,172227.0,0.62,0.00224,3,0.15,-8.09,0,0.0327,101.939,0.281
Dance Monkey,Tones and I,2019-08-08,62,australian pop,90,0.6920000000000001,0.8240000000000001,209438.0,0.588,0.00010400000000000001,6,0.149,-6.4,0,0.0924,98.027,0.513
Easy,Camila Cabello,2019-10-11,85,dance pop,94,0.41100000000000003,0.574,194686.0,0.593,1.55e-06,4,0.0966,-5.731,0,0.0463,128.07299999999998,0.355
hot girl bummer,blackbear,2019-08-23,97,pop,90,0.128,0.778,185093.0,0.5589999999999999,0.0,6,0.39899999999999997,-7.109,0,0.0776,129.989,0.6779999999999999
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,2019-08-02,89,pop,90,0.48200000000000004,0.8059999999999999,198973.0,0.5579999999999999,0.0,9,0.0618,-6.46,1,0.0683,95.016,0.6779999999999999
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019-10-25,91,escape room,88,0.298,0.6679999999999999,159011.0,0.892,0.0,5,0.735,-3.0010000000000003,0,0.0645,95.927,0.478
The Man,Taylor Swift,2019-08-23,83,pop,95,0.0767,0.777,190360.0,0.6579999999999999,0.0,0,0.0901,-5.191,1,0.054000000000000006,110.04799999999999,0.633
Feelings,Lauv,2019-09-19,86,pop,90,0.0934,0.6940000000000001,189613.0,0.466,0.0,9,0.098,-6.757999999999999,1,0.0384,103.01799999999999,0.24600000000000002
Lover,Taylor Swift,2019-08-16,60,pop,95,0.49200000000000005,0.359,221307.0,0.5429999999999999,1.58e-05,7,0.11800000000000001,-7.582000000000001,1,0.0919,68.53399999999999,0.45299999999999996
Ride It,Regard,2019-07-26,95,pop edm,83,0.272,0.893,157605.0,0.748,1.62e-05,7,0.09300000000000001,-4.2989999999999995,0,0.0821,117.958,0.867
Follow God,Kanye West,2019-10-25,93,chicago rap,95,0.000248,0.529,104591.0,0.9,1.21e-05,1,0.0426,-3.503,1,0.418,180.291,0.434
Teeth,5 Seconds of Summer,2019-08-23,80,boy band,87,0.0516,0.7490000000000001,204887.0,0.461,6.24e-06,10,0.0738,-2.9610000000000003,0,0.0416,139.02,0.42
Trigger,Major Lazer,2019-10-24,88,dance pop,86,0.128,0.57,171987.0,0.585,9.7e-05,8,0.111,-7.041,1,0.251,97.285,0.37799999999999995
Before You Go,Lewis Capaldi,2019-11-19,87,pop,91,0.604,0.45899999999999996,215107.0,0.575,0.0,3,0.0885,-4.8580000000000005,1,0.0573,111.881,0.183
Falling,Trevor Daniel,2018-10-05,91,alternative r&b,79,0.12300000000000001,0.784,159382.0,0.43,0.0,10,0.0887,-8.756,0,0.0364,127.087,0.23600000000000002
Liar,Camila Cabello,2019-09-04,93,dance pop,94,0.0169,0.74,207039.0,0.498,0.00282,11,0.319,-6.684,0,0.0456,98.016,0.652
Trampoline (with ZAYN),SHAED,2019-09-26,93,electropop,81,0.56,0.619,184280.0,0.45899999999999996,0.0,7,0.13699999999999998,-5.782,0,0.0334,126.803,0.498
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019-07-12,93,pop,97,0.14800000000000002,0.857,204467.0,0.621,0.0,9,0.0865,-6.376,0,0.0824,97.986,0.6679999999999999
RITMO (Bad Boys For Life),The Black Eyed Peas,2019-10-12,96,dance pop,87,0.0334,0.721,221714.0,0.716,0.00084,10,0.237,-7.037000000000001,0,0.0657,104.994,0.667
Yellow Hearts,Ant Saunders,2019-06-18,81,pop,76,0.11699999999999999,0.866,223256.0,0.39899999999999997,0.0,7,0.0689,-10.937999999999999,1,0.0745,129.047,0.713
Nice To Meet Ya,Niall Horan,2019-10-04,90,dance pop,83,0.0119,0.591,158805.0,0.841,0.0,4,0.395,-4.351,0,0.0304,109.03399999999999,0.392
Someone You Loved,Lewis Capaldi,2019-05-17,96,pop,91,0.7509999999999999,0.501,182161.0,0.405,0.0,1,0.105,-5.678999999999999,1,0.0319,109.891,0.446
Loyal (feat. Drake),PARTYNEXTDOOR,2019-11-22,83,hip hop,81,0.517,0.866,197973.0,0.53,0.00159,0,0.0946,-6.347,0,0.0495,104.95200000000001,0.203
HIGHEST IN THE ROOM,Travis Scott,2019-10-04,98,pop rap,97,0.0546,0.598,175721.0,0.42700000000000005,5.83e-06,7,0.21,-8.764,0,0.0317,76.469,0.0605
Candy,Doja Cat,2018-03-30,86,la indie,84,0.513,0.6890000000000001,190920.0,0.516,0.0,8,0.163,-5.857,1,0.0444,124.876,0.209
